Player,Position,Depth
TAYLOR GABRIEL,LWR,3
JORDAN PAYTON,LWR,4
RANNELL HALL,LWR,5
DENNIS PARKS,LWR,5
MARLON MOORE,RWR,1
RICARDO LOUIS,RWR,2
RASHARD HIGGINS,RWR,3
TERRELLE PRYOR,RWR,4
DARIUS JENNINGS,RWR,5
DAVID RICHARDS,RWR,5
JOE THOMAS,LT,1
DAN FRANCE,LT,2
JOEL BITONIO,LG,1
KALEB JOHNSON,LG,2
CONOR BOFFELI,LG,3
CAMERON ERVING,C,1
GARTH GERHART,C,2
MIKE MATTHEWS,C,3
JOHN GRECO,RG,1
SPENCER DRANGO,RG,2
ALVIN BAILEY,RG,3
AUSTIN PASZTOR,RT,1
SHON COLEMAN,RT,2
MICHAEL BOWIE,RT,3
ERLE LADSON,RT,4
GARY BARNIDGE,TE,1
EJ BIBBS,TE,2
CONNOR HAMLETT,TE,3
RANDALL TELFER,TE,4
SETH DEVALVE,TE,5
JP HOLTZ,TE,5
JOSH MCCOWN,QB,1
ROBERT GRIFFIN,QB,2
CODY KESSLER,QB,3
AUSTIN DAVIS,QB,4
CONNOR SHAW,QB,5
ISAIAH CROWELL,RB,1
DUKE JOHNSON,RB,2
GLENN WINSTON,RB,3
RAHEEM MOSTERT,RB,4
TERRELL WATSON,RB,5
MALCOLM JOHNSON,FB,1
PATRICK SKOV,FB,2
XAVIER COOPER,RDE,1
JOHN HUGHES,RDE,2
DYLAN WYNN,RDE,3
DANNY SHELTON,NT,1
JAMIE MEDER,NT,2
NILE STAMPLE,NT,3
KYLE ROSE,NT,4
DESMOND BRYANT,LDE,1
CARL NASSIB,LDE,2
ARMONTY BRYANT,LDE,3
PAUL KRUGER,OLB,1
JOE SCHOBERT,OLB,2
JACKSON JEFFCOAT,OLB,3
CHRISTIAN KIRKSEY,LILB,1
JUSTIN TUGGLE,LILB,2
SCOOBY WRIGHT,LILB,3
DEMARIO DAVIS,RILB,1
TANK CARDER,RILB,2
DOMINIQUE ALEXANDER,RILB,3
BARKEVIOUS MINGO,OLB,1
EMMANUEL OGBAH,OLB,2
NATE ORCHARD,OLB,3
CAM JOHNSON,OLB,4
JOE HADEN,LCB,1
PIERRE DESIR,LCB,2
JAMAR TAYLOR,LCB,3
CHARLES GAINES,LCB,4
TRACY HOWARD,LCB,5
IBRAHEIM CAMPBELL,SS,1
DERRICK KINDRED,SS,2
RAHIM MOORE,FS,1
JORDAN POYER,FS,2
SEAN BAKER,FS,3
TIM SCOTT,FS,4
DON JONES,FS,5
AJ STAMPS,FS,5
TRAMON WILLIAMS,RCB,1
K'WAUN WILLIAMS,RCB,2
JUSTIN GILBERT,RCB,3
TREY CALDWELL,RCB,4
MIKELL EVERETTE,RCB,5
ERIC PATTERSON,RCB,5
ANDY LEE,P,1
TRAVIS COONS,PK,1
CHARLEY HUGHLETT,LS,1
ANDY LEE,H,1
TRAMON WILLIAMS,PR,1
TAYLOR GABRIEL,PR,2
JORDAN POYER,PR,3
RAHEEM MOSTERT,KR,1
JUSTIN GILBERT,KR,2
MARLON MOORE,KR,3
DUKE JOHNSON,KR,4
JOSH GORDON,SUS,1
ANTONIO BROWN,LWR,1
SAMMIE COATES,LWR,2
ELI ROGERS,LWR,3
SHAKIM PHILLIPS,LWR,4
DEMARCUS AYERS,LWR,5
MARKUS WHEATON,RWR,1
DARRIUS BEY,RWR,2
ISSAC BLAKENEY,RWR,3
CANAAN SEVERIN,RWR,4
MARCUS TUCKER,RWR,5
LEVI NORWOOD,RWR,5
ALEJANDRO VILLANUEVA,LT,1
RYAN HARRIS,LT,2
JERALD HAWKINS,LT,3
RAMON FOSTER,LG,1
CHRIS HUBBARD,LG,2
MAURKICE POUNCEY,C,1
CODY WALLACE,C,2
BJ FINNEY,C,3
QUINTON SCHOOLEY,C,4
DAVID DECASTRO,RG,1
COLE MANHART,RG,2
MARCUS GILBERT,RT,1
MATT FEILER,RT,2
LADARIUS GREEN,TE,1
JESSE JAMES,TE,2
PAUL LANG,TE,3
MATT SPAETH,TE,1
XAVIER GRIMBLE,TE,2
BEN ROETHLISBERGER,QB,1
BRUCE GRADKOWSKI,QB,2
LANDRY JONES,QB,3
DUSTIN VAUGHAN,QB,4
ROOSEVELT NIX,FB,1
DAVID JOHNSON,FB,2
LE'VEON BELL,RB,1
DEANGELO WILLIAMS,RB,2
FITZGERALD TOUSSAINT,RB,3
DARYL RICHARDSON,RB,4
BRANDON DUKES,RB,5
CAMERON STINGILY,RB,5
CAMERON HEYWARD,LDE,1
CAUSHAUD LYONS,LDE,2
LAVON HOOKS,LDE,3
GIORGIO NEWBERRY,LDE,4
DANIEL MCCULLERS,NT,1
JAVON HARGRAVE,NT,2
